#Aplicación Presupuetaria,Programa,,Fecha,CIF,Tercero,Concepto,Importe
Servicio Mantenimiento Alumbrado Público,165,22712,2014-10-31,A28010478,IMESAPI S.A.,"Certificacion Octubre 2014, Se rvicio Mantenimiento  Inst.Ele c. Espacios Publicas y Depend. Administrativas",151789.29
Servicio Mantenimiento Jardines Municipales,171,22741,2014-10-31,U76535509,UTE ZONAS VERDES ARONA,"Certificacion Octubre 2014 Ges tion Zonas Verdes, Expe 4/10-c arsv",369713.02
Servicio Recogida de Papel Cartón,162,22710,2014-10-31,U38732830,UTE CLUSA-MCCSA,"Servicio Octubre 2014, Recogid a, Transporte de los Residuos de papel y Carton en Arona",22835.15
Servicio Recogida RSU y Lim. Viaria,162,22709,2014-10-31,U76525534,UTE ARONA,"Servicio Octubre 2014 Gestion de Residuos, Expte 1/10-casp",564806.41
Servicio Recogida RSU y Lim. Viaria,162,22709,2014-10-31,U76525534,UTE ARONA,"Servicio Octubre 2014 Limpieza  Viaria, Expte1/10-CASP",474228.5
Actividades Socioculturales,339,22609,2014-11-01,B38490991,PATEA TUS MONTES S.L.,Grúa Ruta de Senderismo a Teno  Alto.,77.04
Arrendamientos de Material de Transporte,132,20400,2014-11-01,A91001438,ALPHABET ESPAÑA FLEET MANAGEMENT S.A.U.,"Renting Noviembre 2014 Vehícul os Policia Local ,Expte 3/09-C SPSU",11492.78
Asistencia Médico-Farmacéutica,221,16008,2014-11-01,A50004209,"DKV SEGUROS Y REASEGUROS, S.A.E,",Póliza Salud Noviembre 2014.,16650
"Prensa, revistas, libros y otros",912,22001,2014-11-01,A38011623,CANARIA DE AVISOS S.A.,Servicio Prensa Periodo 01/11/ 14 al 30/04/14.,225.1
"Prensa, revistas, libros y otros",931,22001,2014-11-01,A35577873,TRIBUTOS LOCALES,Suscripcion Revista Tributos L ocales Noviembre 2014 a Octubr e 2015-Javier Bethencout,365.39
Primas de seguros,150,22401,2014-11-01,A28007748,ALLIANZ  COMPAÑIA DE SEGUROS Y REASEGUROS S.A.,Rbo. Póliza Seguro Vehículo 55 57FHP. Periodo 01-11-2014 a 01 -11-2015.,961.03
Recogida y acogida de animales.,313,22704,2014-11-01,N0044040D,AKTION TIER MENSCHEN FUR TIERE EV,"Servicio Octubre, Retirada y A cogida de Perros Abandonador y  Vagabundo en el Municipio",3190.14
Adquisición de Terrenos,151,60001,2014-11-03,S2813031H,JUZGADO CONT-ADMINISTRATIVO Nº1 SANTA CRUZ,"Ejecución sentencia procedimie nto ordinario nº. 478/2012, en  fecha 29 de abril, convenio u rb. Sres. Bethencourt Alfonso",721214
"Desinfectantes, raticidas",313,22115,2014-11-03,B38589842,MAXIMO PESTANO SANIDAD AMBIENTAL S.L.,"Servicio Noviembre 2014, Desra tizaci?n y Desinsectaci?n",3852
Ordinario no inventariable,130,22000,2014-11-03,B38081790,THE RED PEN S.L.,"20 Talones de 25- Sustancias E stupefacientes, Policia local",214
"Reparaciones, man. y conserv. Edificios y otras co",920,21200,2014-11-03,B38662748,COMERCIAL MIGUEL GOMEZ GONZALEZ S.L.,"Suministro Material Ferreteria ,Brocha y botas",54
Combustibles y carburantes,912,22103,2014-11-04,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Combustible y Lavados Octubre 2014 - Vehiculos Alcaldia,262.7
Combustibles y carburantes,920,22103,2014-11-04,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Combustible y Lavados Octubre 2014 - Vehiculos Alcaldia,262.7
Feria de La Pesca 2014,419,22636,2014-11-04,B38240933,IMPRENTA REYES S.L.,"10000 Tripticos Abierto A4, Fe ria de la Pesca",663.92
Material Convenios Fomento Empleo,241,22612,2014-11-04,B76546225,"MAC IMPRESIONS, S.L.",Impresiones en Chalecos Propio s Partes Delanteras Mas Espald a-Programa Extraordinario de E mpleo Social 2014,187.46
"Reparación, man. y conserv. elementos de transport",912,21400,2014-11-04,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Combustible y Lavados Octubre 2014 - Vehiculos Alcaldia,262.7
Energía eléctrica,920,22100,2014-11-05,A81948077,ENDESA ENERGIA S.A.U.,Factruación octubre 2014. Cod.  agrupación 1607955.,3734
Energía eléctrica,920,22100,2014-11-05,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Periodo Agosto a O ctubre 2014 Av. Antonio Domi. Parque Público.Cod. Agrupacion  0725218.,94.94
"Jurídicos, Contenciosos",920,22604,2014-11-05,B38568499,ANA MAR ASESORES S.L.,"3º Pago Direccion Letrada Proc .Abreviado 252/13,Juzgado Cont .N?º4 S/C Tfe",321
Postales,920,22201,2014-11-05,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 05/11 /14, Multas 4",7.8
Postales,920,22201,2014-11-05,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 05/11 /14, Multas 634",10.23
Postales,920,22201,2014-11-05,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 05/11 /14, Multas 635",4.36
Postales,920,22201,2014-11-05,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 05/11 /14, Multas 636",33.9
Publicidad y Propaganda,920,22602,2014-11-05,B76634245,AARGALED S.L.,Elaboración Digital Periódico digital Arona en Red 2014/15. Y Edición Digital Periódico Ar ona en Red.,1031.48
Actividades Socioculturales,339,22609,2014-11-06,B76546225,"MAC IMPRESIONS, S.L.",ROLL-UP. Jovenes Promesas 2014 . Concejalía  Juventud.,123.6
Energía eléctrica,320,22100,2014-11-06,A81948077,ENDESA ENERGIA S.A.U.,Facturación Octubre 2014. Cod.  agrupación 1609684.,6878.68
Informáticas,920,22203,2014-11-06,A58417346,WOLTERS KLUWER ESPAÑA S.A.,Suscripción Todo Proced. Tribu tario y El Consultor ON Line. 11-2014 a 10-2015.,2376.91
Vestuario,920,22104,2014-11-06,B38662748,COMERCIAL MIGUEL GOMEZ GONZALEZ S.L.,Material Departamento Ingenier ía.,282.4
Energía eléctrica,312,22100,2014-11-07,A81948077,ENDESA ENERGIA S.A.U.,Facturación Octubre 2014 Cod. Agrupación 1610168.,52058.85
Energía eléctrica,920,22100,2014-11-07,A81948077,ENDESA ENERGIA S.A.U.,Facturación Octubre 2014 Cod. Agrupación 1610168.,52058.85
Festejos y Actos Populares,338,22610,2014-11-07,B38987368,"A.D.E.S. SIGLO 21, S.L.",Ambulancia Soporte Vital Básic o. Feria Tricontinental.,2450
Locomoción de Miembros de Órganos de Gobierno,912,23100,2014-11-07,A10005510,VIAJES HALCON S.A.,"Viaje TFA/LON/TFS, D. Francisc o Jose Ni?o,  del 2/11/14-06/1 1/14",626
Locomoción del personal no directivo,931,23120,2014-11-07,A10005510,VIAJES HALCON S.A.,"D., Lorena Lopez Figueroa, TFS -MAD",113.28
Combustibles y carburantes,150,22103,2014-11-08,B38983318,"PICAMOLINOS, S.L.",Carburante Octubre 2014 Vehicu los,1085.94
Combustibles y carburantes,912,22103,2014-11-08,B38983318,"PICAMOLINOS, S.L.",Carburante Octubre 2014 Vehicu los,1085.94
Combustibles y carburantes,920,22103,2014-11-08,B38983318,"PICAMOLINOS, S.L.",Carburante Octubre 2014 Vehicu los,1085.94
Combustibles y carburantes.,130,22103,2014-11-08,B38983318,"PICAMOLINOS, S.L.",Carburante Octubre 2014 Vehicu los,1085.94
Combustibles y carburantes.,170,22103,2014-11-08,B38983318,"PICAMOLINOS, S.L.",Carburante Octubre 2014 Vehicu los,1085.94
Energía eléctrica,150,22100,2014-11-10,A81948077,ENDESA ENERGIA S.A.U.,Facturación octubre 2014. Cod.  agrupación 1611269.,22322.25
Energía eléctrica,150,22100,2014-11-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturación octubre 2014. cod.  Agrupación 0767121.,545.49
Energía eléctrica,150,22100,2014-11-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturación octubre 2014. Cod.  agrupación 0767212.,679.43
Energía eléctrica,312,22100,2014-11-10,A81948077,ENDESA ENERGIA S.A.U.,Facturación Octubre 2014 Cod. agrupación 1610611.,3193.77
Energía eléctrica,312,22100,2014-11-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturación octubre 2014. Cod.  agrupación 0767172.,1718.64
Energía eléctrica,312,22100,2014-11-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturación Octubre 2014. Cod.  Agrupación 0767187,178.3
Energía eléctrica,320,22100,2014-11-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturación octubre 2014. Cod.  agrupación 0767172.,1718.64
Energía eléctrica,340,22100,2014-11-10,A81948077,ENDESA ENERGIA S.A.U.,Facturación Octubre 2014. Cod.  Agrupación 1611273.,11400.52
Energía eléctrica,340,22100,2014-11-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturaci?n Octubre 2014. Cod.  Agrupación 0768621.,439.49
Energía eléctrica,920,22100,2014-11-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturación oct. 2014. Cod. Ag rupación 0767115.,290.93
Energía eléctrica,920,22100,2014-11-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturación octubre 2014. Cod.  Agrupación 0767208.,28465.43
Energía eléctrica,920,22100,2014-11-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturación octubre 2014. Cod.  agrupación 0767212.,679.43
Energía eléctrica,920,22100,2014-11-10,B82846825,ENDESA ENERGIA XXI S.L.,Facturación octubre 2014. Cod.  Agrupación 0767951.,119.45
Productos alimenticios,920,22105,2014-11-10,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota Servicio Polic?a Local.,90.12
Productos alimenticios,920,22105,2014-11-10,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Cuota Servicio, S.A.C. Los Cri stianos.",76.88
Repar. mant. y cons. Equipos para procesos informa,920,21600,2014-11-10,B35307693,"QWERTY SISTEMAS, S.L.","Asistencia Modulo Gestion Pers onal Ginpix, Savia y Desplazam iento",4658.95
Tributos de las Entidades Locales,161,22502,2014-11-10,Q8850002J,CONSEJO INSULAR DE AGUAS DE TENERIFE,Servicio Desalación  mes Octub re 2014.,276711.01
Tributos de las Entidades Locales,161,22502,2014-11-10,Q8850002J,CONSEJO INSULAR DE AGUAS DE TENERIFE,Servicio Octubre 2014 Depuraci ón y Vertido.,132039.61
Actividades Socioculturales,339,22609,2014-11-11,B38491700,EL ALFAR CANARIAS S.L.,13 Obsequios Conmemorativos XI  Festival Jóvenes Promesas,535.6
Actividades Socioculturales,339,22609,2014-11-11,B76603042,PARTY HOBBY S.L.,Técnico Sonido para Casting Jó venes Promesas Arona.,171.2
Cánones,173,20900,2014-11-11,S3817002C,M.O.P.U. DEMARCACION DE COSTAS DE TENERIFE,Tasa Canon  Balizamiento de Pl aya de las Vistas.15/11/2014 a  14/11/2015.,57.68
Mantenimiento Aire Acondicionado,920,21304,2014-11-11,B38621850,FERRETERIA HERMALAY S.L.,Mto. Aire Acondicionado.,517.25
Material informático no inventariable,920,22002,2014-11-11,A81608077,T-SYSTEMS ITC IBERIA S.A.,"Servicio Mantenimiento Aplicac iones Informaticas,29/10/13-28 /10/2013,Expte 3/12-cspsv",45037.55
Material informático no inventariable,920,22002,2014-11-11,A81608077,T-SYSTEMS ITC IBERIA S.A.,"Soporte de aplicaciones comple mentarias 2014,Soporte gestor  de informes Acuales y Soporte  sobre Documentación.",3268.28
Postales,920,22201,2014-11-11,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 11/11 /14, Plusvalia 638",12.84
"Prensa, revistas, libros y otras publicaciones",920,22001,2014-11-11,A58417346,WOLTERS KLUWER ESPAÑA S.A.,Libro la Reforma del Regimen J uridico de la Administración L ocal-Contratación,85.5
Estudios y Trabajos Técnicos,920,22706,2014-11-12,B35736503,"GESTION Y CUSTODIA DE LA INFORMACION CANARIAS, S.L.U.",Servicio Custodia de Archivos del Ayuntamiento Arona,1766.73
Locomoción de Miembros de Órganos de Gobierno,912,23100,2014-11-12,A10005510,VIAJES HALCON S.A.,"Alquiler Veh?culos D. Francisc o Jose Ni?o, 12/11/14",35
Locomoción de Miembros de Órganos de Gobierno,912,23100,2014-11-12,A10005510,VIAJES HALCON S.A.,"D.Miguel Angel Mendez Fern?nde z, TFS-BCN-TFN (12/11/14-15/11 /14",153
Locomoción de Miembros de Órganos de Gobierno,912,23100,2014-11-12,A10005510,VIAJES HALCON S.A.,"Viaje TFN-LPA-TFN, D.Francisco  Jose Ni?o, 12/11/14",71.48
Material informático no inventariable,920,22002,2014-11-12,A81069197,KONICA MINOLITA BUSINESS SOLUTION SPAIN S.A.,Coste 1000 paginas Color konic a Mnolta Bizhub C364E,11211.16
Recogida y acogida de animales.,313,22704,2014-11-12,B76617943,UNIDAD DE RESCATE ANIMAL,"Retirada 3 colonias Gatos Asil vestrados en L.Cristianos. Abr il, mayo,junio 2014.",866.7
Actividades Socioculturales,339,22609,2014-11-13,G76572668,ASOCIACION LA REFORMA MUSICAL,"Colaboracion Musical. Concejal ia de Juventud, XI Festival de  Jovenes Promesas",700
Equipos para Proceso de Información,920,62600,2014-11-13,B28260933,HEWLETT-PACKARD ESPAÑOLA S.L.,Suministro Adquisicion 106 PC Y 24 Monitores,61707.29
Material Convenios Fomento Empleo,241,22612,2014-11-13,B38621850,FERRETERIA HERMALAY S.L.,Material para Programa Extraor dinario de Empleo 2014.,94.76
Plan de Promoción Económica,433,22614,2014-11-13,B38621850,FERRETERIA HERMALAY S.L.,"Banda Señalizacion Adhesiva. "" Baile por la Vida"". Promocion Economica.",9.27
Actividades Socioculturales,336,22609,2014-11-14,B76546225,"MAC IMPRESIONS, S.L.",Lona con Imagenes del patrimon io cultural de Arona-Patrimon  io,91.93
Mantenimiento Aire Acondicionado,920,21304,2014-11-14,B38929592,"SOLCLIMA DISTRIBUCIONES TENERIFE SUR, S.L.",Reparación Incidencia Aire Aco ndicionado C.C. Cabo Blanco.,109.14
Postales,920,22201,2014-11-14,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia Catas tro.,28.86
Postales,920,22201,2014-11-14,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia Novie mbre 2014 Multas.,64.71
Postales,920,22201,2014-11-14,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio correspondencia Renta s.,108.95
"Reparación, man. y conserv. elementos de transport",150,21400,2014-11-14,B38788287,"TALLER JUAN GOMEZ, S.L.",Revisión Vehículo E5557FHP.,213.84
Actividades Socioculturales,339,22609,2014-11-15,A38022182,RADIO CLUB DE CANARIAS S.A.,"Cuña en 40 Principales TF Sur Dial TF Sur, Festival Jovenes Promesas, Juventud",1351.87
Publicidad y Propaganda,920,22602,2014-11-15,A38011623,CANARIA DE AVISOS S.A.,"Publicacion en Diario de Aviso s , PAG.9, 14/11/14 ""Anuncio D eposito Municipal de Vehiculos """,539.28
Publicidad y Propaganda,920,22602,2014-11-15,A38011623,CANARIA DE AVISOS S.A.,"Publicacion en Diario de Aviso s, Pag11, 03/11/14""Bando Fiest a Guaza 2014",269.64
Publicidad y Propaganda,920,22602,2014-11-15,A38011623,CANARIA DE AVISOS S.A.,"Publicacion en Diario de Aviso s, Pag11, 07/11/14, Bando Alca ldia Sertri Arona 2014",449.4
Fiestas del Municipio,338,22611,2014-11-17,A38009619,LANCER TEXTILES S.A.,Suministro Material de Merceri a- Fiestas Cristo de La Salud.  Concejalía de Fiestas.,1808.32
"Reuniones, Conferencias y Cursos",241,22606,2014-11-17,B38443073,YAIZA BUS S.L.,Servicio Transporte Los Cristi anos-Tacoronte-Los Cristianos.  Promocion Economica. Formació n para Desempleados Arona.,257.5
Material Convenios Fomento Empleo,241,22612,2014-11-18,B38621850,FERRETERIA HERMALAY S.L.,"Botas y Guante. promoción Econ ómica y Empleo, Programa extra ordinario Empleo 2014",115.77
Actividades Socioculturales,339,22609,2014-11-19,J76634716,LA PULGADA PRODUCCIONES AUDIOVISUALES SCP,"Servicios Prestados Grabación y Streaming del XI Festival de  Jovenes Promesas Arona 2014 ,  14 y 15 Noviembre",1161
Atenciones protocolarias y representativas,912,22601,2014-11-19,B38454781,DRAYCA SUR SERVICIOS S.L.,"Cuadro Certificado ""UNISDR""-Pr otocolo",28
Equipos para Proceso de Información,920,62600,2014-11-19,B38272829,PLANIFICACION Y METODOS S.L.,3 Impresoras Tarjeta  Fargo y 6 Ribbon,3650.57
Postales,920,22201,2014-11-19,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 19/11 /14, Multas 641",2.25
Postales,920,22201,2014-11-19,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 19/11 /14, Multas 642",14.77
Productos alimenticios,920,22105,2014-11-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota de Servicio (Urbanismo),38.15
Productos alimenticios,920,22105,2014-11-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota de Servicio . (Cementeri o),31.02
Productos alimenticios,920,22105,2014-11-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota de Servicio. (Registro),162.12
Productos alimenticios,920,22105,2014-11-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota de Servicio. Alcaldía.,50.13
Productos alimenticios,920,22105,2014-11-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota de Servicio. Archivo Mun icipal.,24.63
Productos alimenticios,920,22105,2014-11-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota de Servicio. Concejalía de Juventud.,24.63
Productos alimenticios,920,22105,2014-11-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota de Servicio. Gestión de Personal,162.12
Productos alimenticios,920,22105,2014-11-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota de Servicio. Inform?tica,63.63
Productos alimenticios,920,22105,2014-11-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota de Servicio. Medio Ambie nte.,50.13
Productos alimenticios,920,22105,2014-11-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota de Servicio. Policía Loc al.,156.12
Productos alimenticios,920,22105,2014-11-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota de Servicio. Servicio de  Obras e Infraestructuras.,44.27
Productos alimenticios,920,22105,2014-11-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota de Servicio. Tesorería.,9.63
Productos alimenticios,920,22105,2014-11-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota de Servicio.Participació n  Ciudadana.,9.63
Productos alimenticios,920,22105,2014-11-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota de Servicio.Recaudación Municipal.,43.38
Servicios de Recaudación,931,22708,2014-11-19,S3826006C,DELEGACION PROVINCIAL HACIENDA,Coste Servicio Octubre 2014.,0.69
Vestuario,920,22104,2014-11-19,B36028991,SAGRES S.L.,Buzos de Uniformidad para los  Agentes de la UPP- Policia Loc al,4560
Actividades Socioculturales,339,22609,2014-11-20,G38973145,ASOCIACION SOCIOCULTURAL PLATONS S.L.,Oberturas Gala xi Festival Jov enes Promesas Arona 2014,1800
Energía eléctrica,340,22100,2014-11-20,A81948077,ENDESA ENERGIA S.A.U.,PNDO. IMPORTE FACTURA N? AGRUP . 1633221.,6285.19
Fiestas del Municipio,338,22611,2014-11-20,G38974432,AS BALLET BEANKY,Creación de Atrezo para Gala I nfantil. Fiesta del Cristo Aro na 2014.,532
Locomoción de Miembros de Órganos de Gobierno,912,23100,2014-11-20,A10005510,VIAJES HALCON S.A.,billete Avión TFS-MAD-TFN fCO.  Jos? Niño Rguez.,364
Material Convenios Fomento Empleo,241,22612,2014-11-20,B38621850,FERRETERIA HERMALAY S.L.,Material para Programa Extraor dinario de Empleo Social 2014.  Promoción Económica y Empleo.,2876.5
Plan de Promoción Económica,433,22614,2014-11-20,B76514991,"TOLDOS DEL VALLE, S.L.","Mantenimiento Integral de Cart elería, Plotters, Colocados e. n Mupies de Informacion ZCA Lo s Cristianos",1040
"Reuniones, Conferencias y Cursos",241,22606,2014-11-20,B76528892,LA BRUJULA EDUCATIVA,"Coste Docencia curso ""Atención  al cliente en el comercio"", 3 2 horas  Días  7 al  18 de Nov iembre",1134.34
"Reuniones, Conferencias y Cursos",241,22606,2014-11-20,B76528892,LA BRUJULA EDUCATIVA,"Coste docencia curso ""Iniciaci ón al Ruso"", Duración 50 horas , días  3 al  19 Noviembre 201 4, horario 16,30 a 20,30.",1256.21
"Reuniones, conferencias y cursos.",170,22606,2014-11-20,G76533223,PLATAFORMA DE ACTIVIDADES ACUATICAS Y SOCORRISMO,"7º Seminario de Actividades Ac uáticas, Salvamento y Socorris mo. 6 al 9 de noviembre 2014.",7720
"Jurídicos, Contenciosos",920,22604,2014-11-21,B38568499,ANA MAR ASESORES S.L.,"Primer pago a cuenta (60% cont estacion a la demanda) por dir eccion letrada procedimiento o rdinario nº451/14,Ex.12/14cmsv",4494
Material Convenios Fomento Empleo,241,22612,2014-11-21,B38621850,FERRETERIA HERMALAY S.L.,Material para Programa Extraor dinario de Empleo Social 2014.,468.72
Productos alimenticios,920,22105,2014-11-21,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota de Servicio. S.A.C. Las Galletas.,43.38
Plan de Formación Interno Empleados Públicos,920,22616,2014-11-23,B76584283,"SHINE PSICOLOGIA Y COACHING, S.L.",Impartición de la acción forma otiva semipresencial Mediación comunitaria y Gestión del Conf licto (Módulo 3:Competencias t,2568
Actividades Socioculturales,339,22609,2014-11-24,B38917084,"MUSIC ON CANARIAS IMAGEN Y SONIDO, S.L.U.","Equipo de Sonido, iluminación y vídeo ""Festival Jovenes Prom esas 2014"", días 14-11-14 y 15 -11-14.Concejalía Juventud.",7303.82
Plan de Promoción Económica,433,22614,2014-11-24,B38722898,JUAN JOSE FUENTES TABARES S.L.,"Publicacion ""Noche de Castañas  , Tapas, Vinos""en Diario de A visos, el 23/11/14, Faldon a   Color",481.5
"Reparación, man. y conserv. elementos de transport",150,21400,2014-11-24,B38788287,"TALLER JUAN GOMEZ, S.L.",Reparación Vehículo E-5557-FHP . Mantenimiento.,403.64
Energía eléctrica,920,22100,2014-11-25,B82846825,ENDESA ENERGIA XXI S.L.,C/ Francisco Andrade Fiesta Na vidad,1167.4
Energía eléctrica,920,22100,2014-11-25,B82846825,ENDESA ENERGIA XXI S.L.,C/Morro Cubas. Fiesta Navidad 28/11/14 a 08/1/15.,1250.85
Energía eléctrica,920,22100,2014-11-25,B82846825,ENDESA ENERGIA XXI S.L.,"Calle Rafael Puig, Fiesta Navi dad.",1250.85
Energía eléctrica,920,22100,2014-11-25,B82846825,ENDESA ENERGIA XXI S.L.,"Consumo Eventuales, Fiestas Na vidad, Valle Men?ndez , Los Cr istianos",877.97
Energía eléctrica,920,22100,2014-11-25,B82846825,ENDESA ENERGIA XXI S.L.,Fiesta Navidad  C/ Fuerteventu ra,877.97
Equipamiento Mercadillo Municipal del Agricultor,414,62507,2014-11-25,B82929951,TECHCO SEGURIDAD S.L.,Suministro e Instalación Equip os Robo e intrusión. Mercadill o del Agricultor.,8025.8
Fiestas del Municipio,338,22611,2014-11-25,G28029643,SOCIEDAD GENERAL DE AUTORES,Derechos Autor Actuaciones y O rquestas Fiestas de Arona 2014 .,755.63
Plan de Dinamización Comercial de Arona 2014,241,22687,2014-11-25,B38757159,HERNANDEZ CABRERA E HIJAS S.L.,Delantal Negro  Campaña Navida d,123.84
"Reparación, man. y conserv. elementos de transport",150,21400,2014-11-25,B38788287,"TALLER JUAN GOMEZ, S.L.",Reparacion vehiculo TF7654-AL.  Mantenimiento.,47.23
Actividades Partiicipación Ciudanana,924,22609,2014-11-26,B38460713,AREA RURAL TEGUESTE SLU,"Programa Acciones Formativas,  Escuela Formación, Taller 9 ""H erramientas de Team Coaching""P articipacion Ciudadana",267.5
Repar. conserv. y man. elementos de transporte,132,21400,2014-11-26,B38963542,LLAVE SUR Y LEGARA S.L.,"Trabajos Realizados en Reparac i?n El?ctrica de Contacto Moto ,llave con Chip par Segunda Ll ave Programada,Policia local",224.7
Energía eléctrica,920,22100,2014-11-27,B82846825,ENDESA ENERGIA XXI S.L.,"Consumo electrico en La Consti tuci?n 2- Electrobomba,Villa I sabel, Periodo:27/11/14-29/01/ 15",55.85
"Prensa, revistas, libros y otros",931,22001,2014-11-27,A08902173,ATELIER LIBROS S.A.,"Manual Practico sobre la Nueva  Contabilidad Local, Intervenc i?n de Fondos.",80.16
Plan de Promoción Económica,433,22614,2014-11-28,B38436499,TECNISUR TENERIFE S.L.,"Campaña Pulicitaria Radio Novi embre 2014(Campaña ""Noche de C astañas,Tapas,Dulces y Vino"")",96.3
Productos alimenticios,920,22105,2014-11-28,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota servicio Ayuntamiento.,38.52
Repar. conserv. y man. elementos de transporte,132,21400,2014-11-28,B38233912,SERVICIOS E LEON S.L.,"Presentando factura 61160 de 2 4/11, Aver?a vehiculo tf. 0705 -cvg",107
"Reuniones, Conferencias y Cursos",241,22606,2014-11-28,B76528892,LA BRUJULA EDUCATIVA,"Coste docencia curso ""Iniciaci ón al Ruso"" duración  50 horas ,  Días  10 al  26 Noviembre 2014.de 9,30 a 13,30 horas",1260
Servicio Mantenimiento Jardines Municipales,171,22741,2014-11-28,U76535509,UTE ZONAS VERDES ARONA,"PDTO. FACTURA N? FC1114-0001 M ES DE NOVIEMBRE IMPORTE 363.63 6.99 EUROS,Gesti?n de zonas ve rdes",363636.99
Anticipos por cuenta terceros,931,83001,2014-11-30,A38011623,CANARIA DE AVISOS S.A.,"Anuncio Apertura Licitación 2/ 13 -CNT-CASV""Contratación Serv icio Vigilancia,Salvamento y A Litoral.18/11/14.Diario Avisos",449.4
Combustibles y carburantes,150,22103,2014-11-30,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Carburante Noviembre 2014-Serv icio Mantenimiento,335.78
Combustibles y carburantes,150,22103,2014-11-30,B38983318,"PICAMOLINOS, S.L.",Carburante Noviembre 2014.,1188.49
Combustibles y carburantes,912,22103,2014-11-30,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Carburante y Lavado VehIculos Noviembre 2014- AlcaldIa,480.74
Combustibles y carburantes,912,22103,2014-11-30,B38983318,"PICAMOLINOS, S.L.",Carburante Noviembre 2014.,1188.49
Combustibles y carburantes,920,22103,2014-11-30,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Carburante y Lavado VehIculos Noviembre 2014- AlcaldIa,480.74
Combustibles y carburantes,920,22103,2014-11-30,B38983318,"PICAMOLINOS, S.L.",Carburante Noviembre 2014 Vehí culos Policia Local.,563.89
Combustibles y carburantes,920,22103,2014-11-30,B38983318,"PICAMOLINOS, S.L.",Carburante Noviembre 2014.,1188.49
Combustibles y carburantes.,130,22103,2014-11-30,A38047684,ESTACION SURAMERICAS S.A.,"Carburante vehículos Municipal es, mes Noviembre 2014.",2810.88
Combustibles y carburantes.,130,22103,2014-11-30,A38087367,CLAUDIO ALFONSO E HIJOS S.A.,Carburante Noviembre 2014 Vehí culos de la Policía Local,45.51
Combustibles y carburantes.,130,22103,2014-11-30,B38983318,"PICAMOLINOS, S.L.",Carburante Noviembre 2014 Vehí culos Policia Local.,563.89
