#Aplicación Presupuestaria,Programa,,Fecha,CIF,Tercero,Concepto,Importe
Energía eléctrica,920,22100,2015-08-07,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,54.78
Energía eléctrica,920,22100,2015-08-07,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,132.77
Energía eléctrica,920,22100,2015-08-07,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,501.57
Energía eléctrica,920,22100,2015-08-07,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,947.16
Ordinario no inventariable,912,22000,2015-08-07,E76676626,C.B. SOFTTONER,PNDO.FACTURA FV15/1045. Pizarr a B Office 100X150 Marc Alumin .,63.93
Repar. conserv. y man. elementos de transporte,132,21400,2015-08-07,B38233912,SERVICIOS E LEON S.L.,"Regulador Corriente Honda , Re vision Circuitos  de Carga y S ustitucion-1548DWG",175.41
"Reparaciones, man. y conserv. Edificios y otras co",920,21200,2015-08-07,B38621850,FERRETERIA HERMALAY S.L.,"Material de Ferreteria para Po licia Local,Barras Aluminio Ca mpo Tiro",32.96
"Reparaciones, man. y conserv. Edificios y otras co",920,21200,2015-08-07,B38621850,FERRETERIA HERMALAY S.L.,PTDO.FCTRA.Nº4512204. Material  de Ferretería Servicio de Obr a e Infractuctura,2871.44
Energía eléctrica,920,22100,2015-08-10,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,46.23
Energía eléctrica,920,22100,2015-08-10,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,49.47
Energía eléctrica,920,22100,2015-08-10,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,94.2
Energía eléctrica,920,22100,2015-08-10,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,149.8
Energía eléctrica,920,22100,2015-08-10,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,8.38
Energía eléctrica,920,22100,2015-08-10,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,276.92
Ordinario no inventariable,920,22000,2015-08-10,B38081790,THE RED PEN S.L.,PNDO. FRA. 000019609. 5000 Acu ses de Recibo  - 102 X 178mm -  con tiras de silicona para pe gar en laterales. Alcaldía.,856
Energía eléctrica,920,22100,2015-08-11,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,59.77
Energía eléctrica,920,22100,2015-08-11,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,97.08
Energía eléctrica,920,22100,2015-08-11,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,99.46
Energía eléctrica,920,22100,2015-08-11,B82846825,ENDESA ENERGIA XXI S.L.,Potencia         P1,10.71
Ordinario no inventariable,130,22000,2015-08-11,B38081790,THE RED PEN S.L.,200 Talonarios *25 Multa en el  Acto- Policia Local,481.5
"Reparaciones, Mante. y conserv. Maquinaria e Inst.",929,21300,2015-08-11,A28006922,FINANZAUTO S.A.,Reparación del Grupo Electroni co,767.15
Servicio de mantenimiento de vías y edificios,320,22713,2015-08-11,B38621850,FERRETERIA HERMALAY S.L.,Material Ferreteria para CEIP LA Camella,85.64
Vestuario,920,22104,2015-08-11,B76546225,"MAC IMPRESIONS, S.L.","Bordados Logo  Ayuntamiento de  Arona, Polos y Cazadoras",77.04
Energía eléctrica,150,22100,2015-08-12,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,203.42
Energía eléctrica,320,22100,2015-08-12,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,134.62
Energía eléctrica,340,22100,2015-08-12,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,128.37
Energía eléctrica,340,22100,2015-08-12,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,600.78
Energía eléctrica,920,22100,2015-08-12,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,172.19
Energía eléctrica,920,22100,2015-08-12,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,188.58
Energía eléctrica,920,22100,2015-08-12,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,750.07
Productos alimenticios,920,22105,2015-08-12,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",PTDO. FACTURA Nº 55/5-02098.Cu ota de Servicio. Urbanismo.,38.15
Repar. conserv. y man. elementos de transporte,132,21400,2015-08-12,B38233912,SERVICIOS E LEON S.L.,"Reparación de Instalación Luce s, 1548-DWG",93.63
Repar. conserv. y man. elementos de transporte,132,21400,2015-08-12,B38905774,FRANELIPAL S.L.,PNDO. FRA. 0000072962.Reparaci ón Vehículo 1595DWG. Policía L ocal.,1444.5
Repar. mant. y cons. Equipos para procesos informa,920,21600,2015-08-12,B76025709,GPS-CANARIAS S.L.,"TRABAJOS DE FIBRA ÓPTICA, REPA RACIÓN DE FIBRA LAS AMÉRICAS-L OS CRISTIANOS",1362.86
Servicio de mantenimiento de vías y edificios,320,22713,2015-08-12,B38621850,FERRETERIA HERMALAY S.L.,Material Ferreteria para El Co legio de Arona,436.28
Energía eléctrica,920,22100,2015-08-13,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,247.84
Energía eléctrica,920,22100,2015-08-13,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,1338.49
Energía eléctrica,920,22100,2015-08-13,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,2034.82
Ordinario no inventariable,920,22000,2015-08-13,B38081790,THE RED PEN S.L.,4000 Acuses de Recibo-Dos envi o-102*210mm-Material de oficin a,203.3
Ordinario no inventariable,920,22000,2015-08-13,B38081790,THE RED PEN S.L.,6000 Acuses de Recibo- un solo  envio-102x178mm- Materia de o ficina,304.95
Servicio de mantenimiento de vías y edificios,1532,22713,2015-08-13,B38621850,FERRETERIA HERMALAY S.L.,Material Ferreteria-Tablas del  Paseo de los Cristianos,117.7
Vestuario,920,22104,2015-08-13,B57029217,COMERCIAL RAFAEL RIBAS S.L.,2 Camisa Celeste y dos logos- Uniforme Sac,57.47
Energía eléctrica,920,22100,2015-08-14,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,120.96
Energía eléctrica,920,22100,2015-08-14,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,69.82
Energía eléctrica,920,22100,2015-08-14,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,397.63
Energía eléctrica,920,22100,2015-08-14,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,583.26
Mantenimiento de Ascensores,326,21302,2015-08-14,B76030410,ABC INSPECCION S.L.,Inspeccion Periodica Ascensore s situado en .C.Cultural los C ristianos,89.83
Material informático no inventariable,920,22002,2015-08-14,B38933719,"SAEN TECH CANARIAS, S.L.",Disco Duro Ext. Seagate TB2.5 USB,174.72
Postales,920,22201,2015-08-14,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 14/8/ 15, Multas 714",144.54
Postales,920,22201,2015-08-14,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 14/8/ 15, Plusvalia 713",16.94
Postales,920,22201,2015-08-14,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 14/8/ 15, Rentas 716",7.46
Postales,920,22201,2015-08-14,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 14/8/ 15, Rentas 717",34.07
Anticipos por cuenta terceros,931,83001,2015-08-15,A38011623,CANARIA DE AVISOS S.A.,"Publicacion 04/8/15, pag 19 ""  Apertura licitacion 4/15-CCPS  V, Mejora Cualificacion Profe  sional",269.64
Anticipos por cuenta terceros,931,83001,2015-08-15,A38011623,CANARIA DE AVISOS S.A.,"Publicacion el 04/8/15, pag 19 , Apertura Licitacion 3/15-cc  psv ""  Servicio Consultoria y   Asistencia Técnica",269.64
Anticipos por cuenta terceros,931,83001,2015-08-15,A38011623,CANARIA DE AVISOS S.A.,"Publicacion el 10/8/15, pag 15  "" Servicio Mantenimiento  y   Conserv Ed, Expt 4/15-carsv",269.64
Anticipos por cuenta terceros,931,83001,2015-08-15,A38011623,CANARIA DE AVISOS S.A.,"Publicacion el 14/8/15, pag 20  "" ""Arrendamiento local en Gu  argacho, Expte 3/14-arrendami  ento",269.64
Informáticas,920,22203,2015-08-15,A62186556,VODAFONE ONO S.A.U.,Internet Garantizado 30M - Ori gen: ARONA,2700.78
Publicidad y Propaganda,920,22602,2015-08-15,A38011623,CANARIA DE AVISOS S.A.,"Publicacion 9/8/15 , Pag 30 ""   Centro Civico las Galletas,",481.5
Publicidad y Propaganda,920,22602,2015-08-15,A38011623,CANARIA DE AVISOS S.A.,"Publicacion Bando 06/8/15, pag  19, Arona Summer Festival",359.52
Telefónicas,920,22204,2015-08-15,A62186556,VODAFONE ONO S.A.U.,Internet Garantizado 30M - Ori gen: ARONA,2700.78
Telefónicas,920,22204,2015-08-15,A62186556,VODAFONE ONO S.A.U.,Internet Garantizado Otros Acc esos 64 Kbps - Origen: ARONA,1123.57
Combustibles y carburantes.,130,22103,2015-08-17,B38233912,SERVICIOS E LEON S.L.,"Desmontar Equipo Moto Electric a, TF-7643-BK",173.88
Repar. conserv. y man. elementos de transporte,132,21400,2015-08-17,B38233912,SERVICIOS E LEON S.L.,Desmontar Equipo moto Electric a- TF4428-BU,173.88
Repar. mant. y cons. Equipos para procesos informa,920,21600,2015-08-17,B35307693,"QWERTY SISTEMAS, S.L.",Reparación Impresora HP LJ CP3 520007iReparacion impresora HP 325 con numero serie CNCTB99H9 8,160.19
Servicio Mantenimiento Alumbrado Público,165,22712,2015-08-17,A28010478,IMESAPI S.A.,"C.Agosto,ILUMINACIÓN FUENTE RO  TONDA LOS CRISTIANOS, Expte 3 /09-casv",347.93
Servicio Mantenimiento Alumbrado Público,165,22712,2015-08-17,A28010478,IMESAPI S.A.,"Cer.Agosto,Sustitucion celulas  Fotoelectricas Reloj Astronom ico ,Expte 3/09-casv",695.87
Servicio Mantenimiento Alumbrado Público,165,22712,2015-08-17,A28010478,IMESAPI S.A.,"Certi.Agosto, Cambio lamparas   y Equipos en el Alumbrado Pub lico Arona Casco .",5773.94
Material informático no inventariable,920,22002,2015-08-18,B35307693,"QWERTY SISTEMAS, S.L.","Repuesto Fuente Alimentación p ara Servidor Proliant DL380 G5 , CPD C.Cultural Los Cristiano s como controlador dominio",273.67
Material informático no inventariable,920,22002,2015-08-18,B35307693,"QWERTY SISTEMAS, S.L.","Repuesto para Servidor, Modelo  Proliant DL380 G5, serie CZC7 475WFV, en el CPD C.Cultural   Los Cristianos",64.2
Productos alimenticios,920,22105,2015-08-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 9 Botellone s Agua-Edificio Ayuntamiento",67.05
Productos alimenticios,920,22105,2015-08-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 1 Botellon A gua-Archivo",17.13
Productos alimenticios,920,22105,2015-08-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 1 Botellon-T esoreria",17.13
Productos alimenticios,920,22105,2015-08-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 13 Botellone s Agua-Informatica",92.57
Productos alimenticios,920,22105,2015-08-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 2 Botellones  Agua-Urbanismo",24.63
Productos alimenticios,920,22105,2015-08-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 22 Botellone s Agua,3Caja Vasos-Policia Loc al Arona",181.37
Productos alimenticios,920,22105,2015-08-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 2Botellones Agua-Juventud",24.63
Productos alimenticios,920,22105,2015-08-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 2Botellones Agua-Servicio de Obras e Infra estructura",24.63
Productos alimenticios,920,22105,2015-08-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 30 Botellone s Agua,2 Caja Vasos-Negociado de Disciplina Urbanistica",216.12
Productos alimenticios,920,22105,2015-08-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 5 Botellones  Agua-Negociado de Multas",43.38
Productos alimenticios,920,22105,2015-08-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 5 Botellones  Agua-Recaudación Municipal",43.38
Productos alimenticios,920,22105,2015-08-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 5Botellones Agua-Cementerio",43.38
Productos alimenticios,920,22105,2015-08-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",1 Cuota Servicio-Participación  Ciudadana,9.63
Productos alimenticios,920,22105,2015-08-18,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","2 Cuota Servicio, 24 Botellone s Agua, 2 Caja Vasos-Sac Arona",189.75
Repar. mant. y cons. Equipos para procesos informa,920,21600,2015-08-18,B35307693,"QWERTY SISTEMAS, S.L.","Reparacion Impresora HP JL CP  32i Reparar impresora HP LJ CP 3525 con N/S: CNCTB99H8M, en S ac",160.19
Servicios de Recaudación,931,22708,2015-08-19,S3826006C,DELEGACION PROVINCIAL HACIENDA,Liquidación Julio 2015-por ing resos Recursos de Otras Admini straciones,745.27
Actividades Socioculturales,3271,22609,2015-08-20,B38899159,ESPECTACULOS TENERIFE S.L.,"Por la contratacion de los sig uientes servicios, 2 CASTILLOS  ACUATICOS, PHOTOCALL CARPA IM AGEN, Jornadas SUMMER TIME",8324.6
Señalizaciones Municipales,155,22613,2015-08-20,B38621850,FERRETERIA HERMALAY S.L.,Material Ferreteria Callejeros,167.93
Energía eléctrica,340,22100,2015-08-21,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,857.84
Productos alimenticios,920,22105,2015-08-21,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","3 Botellones Agua, 1 Tira Vaso s-Primer Suministro Departamen to de Cultura y Deportes",21.38
"Reparaciones, man. y conserv. Edificios y otras co",920,21200,2015-08-21,B38621850,FERRETERIA HERMALAY S.L.,"Malla Señalizacion 1*50MT, rot ura de valla en crta. del v.s  . lorenzo a la Sabinita",20.39
Actividades Socioculturales,3271,22609,2015-08-24,A28010478,IMESAPI S.A.,Suministro Electrico para Proy ecto Summer Time,652.37
Actividades Socioculturales,3271,22609,2015-08-24,B38418653,SANITARIOS PORTATILES S.L.,"1 Alquiler Sanitario , 1 Sanit ario Accesible-SummerTime 2015 , 4,5,6,11,12,13,18-Agosto",786.45
Combustibles y carburantes.,130,22103,2015-08-24,A38087367,CLAUDIO ALFONSO E HIJOS S.A.,Carburante de Junio 2015-Vehic ulos de la Policia Local,106.01
Mantenimiento Cámaras de Seguridad,130,21305,2015-08-24,B82929951,TECHCO SEGURIDAD S.L.,"Reparacion Sistema Deteccion e n CEIP Las Galletas, CL,Villam ar, 16, Las Galletas",134.82
Productos alimenticios,920,22105,2015-08-24,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 5 Botellones -Sac las Galletas n?1",43.38
Repar. mant. y cons. Mobiliario,150,21500,2015-08-24,S2817035E,CENTRO ESPAÑOL DE METROLOGIA,"Certificado de Verificacion Pe riodicas, Sonometros - Policia  Local",910
Servicio Mantenimiento Alumbrado Público,165,22712,2015-08-24,A28010478,IMESAPI S.A.,"Siniestro de Guagua contra Alu mbrado Publico en Arq.Gomez Cu esta, Exptee",4623.32
Repar. conserv. y man. elementos de transporte,132,21400,2015-08-25,B38963542,LLAVE SUR Y LEGARA S.L.,"Desarmar Tapizado Sillon y Rep arar- Toyota 3109 BZH, Policia  local",107
Plan de Formación Interno Empleados Públicos,920,22616,2015-08-26,B06290241,"PREVING CONSULTORES, S.L.","Formacion para 49 Trabajadores  de 1 hr. ,Peones, C. Cultural  V.S.Lorenzo-03/8/15",980
Servicio de mantenimiento de vías y edificios,920,22713,2015-08-26,B38621850,FERRETERIA HERMALAY S.L.,Material Ferreteria Baño Minus valido de las vista,30.9
Mantenimiento Cámaras de Seguridad,130,21305,2015-08-27,B82929951,TECHCO SEGURIDAD S.L.,Suministro e Instalacion Siste ma de Seguridad -Estadio Olimp ico,513.6
"Suministros de repuestos de maquinaria, utillaje",130,22111,2015-08-27,B38233912,SERVICIOS E LEON S.L.,"Bateria 12V, 12 AH- Yamaha 972 9-DVL",52.02
Informáticas,920,22203,2015-08-28,A82018474,"TELEFONICA DE ESPAÑA, S.A.U.",FACTURACION PERSONALIZADA MODA LIDAD: CARGO UNICO - IGIC,3647.32
Telefónicas,912,22204,2015-08-28,A82018474,"TELEFONICA DE ESPAÑA, S.A.U.",FACTURACION PERSONALIZADA MODA LIDAD: CARGO UNICO - IGIC,3647.32
Telefónicas,920,22204,2015-08-28,A82018474,"TELEFONICA DE ESPAÑA, S.A.U.",FACTURACION PERSONALIZADA MODA LIDAD: CARGO UNICO - IGIC,3647.32
Teléfonos,130,22204,2015-08-28,A82018474,"TELEFONICA DE ESPAÑA, S.A.U.",FACTURACION PERSONALIZADA MODA LIDAD: CARGO UNICO - IGIC,3647.32
Teléfonos,330,22204,2015-08-28,A82018474,"TELEFONICA DE ESPAÑA, S.A.U.",FACTURACION PERSONALIZADA MODA LIDAD: CARGO UNICO - IGIC,3647.32
Anticipos por cuenta terceros,931,83001,2015-08-31,A38011623,CANARIA DE AVISOS S.A.,"Publicacion Anuncio 25/08/15,  pag 18 "" Apertura licitacion   Expte 3/15-casv, Servicio Vig  ilancia y Asistencia Litoral",269.64
Anticipos por cuenta terceros,931,83001,2015-08-31,A38017844,EDITORIAL LEONCIO RODRIGUEZ S.A.,"Anuncio Publicado en el DIA, p ag.10, 04/08/15 ""Servicio Lici taci?n Proyecto Urban Expte 4/ 15-CCPSV""",288.9
Anticipos por cuenta terceros,931,83001,2015-08-31,A38017844,EDITORIAL LEONCIO RODRIGUEZ S.A.,"Anuncio Publicado en el DIA, p ag.10, 04/08/15, ""Anuncio Aper tura Expte 3/15-CCPSV""",288.9
Anticipos por cuenta terceros,931,83001,2015-08-31,A38017844,EDITORIAL LEONCIO RODRIGUEZ S.A.,"Anuncio Publicado en el DIA, p ag.11, 10/08/15 ""Apertura Lici tacion 4/15-carsv, Mant,Conser vación Ed. Municipales y Vias",288.9
Anticipos por cuenta terceros,931,83001,2015-08-31,A38017844,EDITORIAL LEONCIO RODRIGUEZ S.A.,"Anuncio Publicado en el DIA, p AG10, 25/8/15 "" Apertura Licit acion 3/15-casv",288.9
Combustibles y carburantes,150,22103,2015-08-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Carburante Agosto 2015- Vehicu los,1211.85
Combustibles y carburantes,150,22103,2015-08-31,B38983318,"PICAMOLINOS, S.L.",Carburante Agosto 2015 Vehicul os,662.39
Combustibles y carburantes,912,22103,2015-08-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,"Carburante Agosto 2015, Vehicu los",268.71
Combustibles y carburantes,912,22103,2015-08-31,B38983318,"PICAMOLINOS, S.L.",Carburante Agosto 2015- Vehicu los,683.8
Combustibles y carburantes,920,22103,2015-08-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,"Carburante Agosto 2015, Vehicu los",268.71
Combustibles y carburantes,920,22103,2015-08-31,B38983318,"PICAMOLINOS, S.L.",Carburante Agosto 2015 Vehicul os,662.39
Combustibles y carburantes,931,22103,2015-08-31,A38047684,ESTACION SURAMERICAS S.A.,Carburante Agosto 2015 Vehicul os,2233.18
Combustibles y carburantes.,130,22103,2015-08-31,A38047684,ESTACION SURAMERICAS S.A.,Carburante Agosto 2015 Vehicul os,2233.18
Combustibles y carburantes.,130,22103,2015-08-31,A38087367,CLAUDIO ALFONSO E HIJOS S.A.,Factura Agosto Combustible 3 V ehiculos Policiales,139
Combustibles y carburantes.,130,22103,2015-08-31,B38983318,"PICAMOLINOS, S.L.",Carburante Agosto 2015- Vehicu los,683.8
Combustibles y carburantes.,130,22103,2015-08-31,B38983318,"PICAMOLINOS, S.L.",Carburante Agosto 2015 Vehicul os,662.39
Combustibles y carburantes.,130,22103,2015-08-31,B76585801,"VILLASARA MULTISERVICIOS, S.L.",Carburante Agosto 2015 Vehicul os,1075.97
Combustibles y carburantes.,170,22103,2015-08-31,B38983318,"PICAMOLINOS, S.L.",Carburante Agosto 2015 Vehicul os,662.39
Equipamiento Mercadillo Municipal del Agricultor,414,62507,2015-08-31,E38907077,C.B. ROTULOS CRESPO,"Letras Corporeas de 25CM*25*5,  Acero Inoxidable, Texto Merca do Agricultor de Arona-Promoc.  Ec",4130.2
Equipos para Proceso de Información,920,62600,2015-08-31,B35307693,"QWERTY SISTEMAS, S.L.","Escaner Metrologic MS9520 de m ano  - Lector codigo de barras   - Marca Metrologic S/N: 2R15 042716,2R15042753",409.81
Limpieza y Aseo,920,22700,2015-08-31,B35745926,RALONS SERVICIOS S.L.,"Servicio Agosto 15, Limpieza C Educativo y Dependencias Munic ipales, Expte 1/2010-casv",143402.92
Mantenimiento Integral del Litoral,1721,22730,2015-08-31,U76534924,UTE LITORAL ARONA,"Servicio Agosto 2015-Gestion l itoral,Expte 2/10-casp",33992.36
Material informático no inventariable,920,22002,2015-08-31,B35307693,"QWERTY SISTEMAS, S.L.","Cartucho de impresion negro HP  laserjet, Expte 1/13-CARSU",4330.99
Material informático no inventariable,920,22002,2015-08-31,B35307693,"QWERTY SISTEMAS, S.L.","HP 88 Black and Yellow Officej et Printhe, Expte 1/2013-carsu",182.9
Material informático no inventariable,920,22002,2015-08-31,B38581393,TECNISUR COPIADORAS S.L.,Facturacion Contadores Fotocop iadoras KONICA 30/6/15-31/8/15,1686.35
Ordinario no inventariable,920,22000,2015-08-31,B38381653,SUMINISTRO DE OFICINA OFIPAPEL S.L.,Suministro Material de Oficina  Agosto 2015,966.35
Plan de Promoción Económica,433,22614,2015-08-31,B38418653,SANITARIOS PORTATILES S.L.,1 Alquiler Sanitario Pace y Al quiler Sanitario Accesible-Fer ia del Pescado 2015,112.35
Plan de Promoción Económica,433,22614,2015-08-31,B38645735,AINHFER S.L.,"Alquiler, 20 Barandillas ,60 C orrederas Sujeccion-Montaje y Desmontaje3º Feria del Pescado  27/8/15-29/8/15",214
Plan de Promoción Económica,433,22614,2015-08-31,B76559681,"BRUJULA SEGURIDAD,S.L.",Zona Custodiada 3º Feria del P escado (los Cristianos)Promo.E c,154.08
Postales,920,22201,2015-08-31,A83052407,SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS S.A.,"Servicio Agosto, Cartas Certif icadas",11075.06
Publicidad y Propaganda,920,22602,2015-08-31,A38011623,CANARIA DE AVISOS S.A.,"Bando en Diario de Avisos, 29/ 8/15, pag 16 ""Fiestas Honor N  rta Sra del Carmen Los Cristi  anos""",535
Publicidad y Propaganda,920,22602,2015-08-31,A38011623,CANARIA DE AVISOS S.A.,"Publicación Bando  Diario de  Avisos, el 18/8/15, pag 20 "" P or Inicio Obras , Av. las Amer icas, 19 agosto -15/10/15""",179.76
Publicidad y Propaganda,920,22602,2015-08-31,A38017844,EDITORIAL LEONCIO RODRIGUEZ S.A.,"Anuncio Publicado en el Dia, p ag 11,14/8/15""Apertura Licitac ion 3/14-Arrendamiento, local en Guargacho",288.9
Publicidad y Propaganda,920,22602,2015-08-31,A38017844,EDITORIAL LEONCIO RODRIGUEZ S.A.,"Anuncio Publicado en el DIA, p ag19,04/08/15"" AL Cobro Sumini stro Agua 3 Bimestre, Conserva cion Contadores y Alcantarilla",288.9
Publicidad y Propaganda,920,22602,2015-08-31,A38017844,EDITORIAL LEONCIO RODRIGUEZ S.A.,"Bando Publicado en el DIA , Pa g.10, 15/8/15, "" Fiestas en Ho nor a San Casiano, las Galleta s 2015""",288.9
Publicidad y Propaganda,920,22602,2015-08-31,A38017844,EDITORIAL LEONCIO RODRIGUEZ S.A.,"Bando Publicado en el DIA ,08/ 08/15, Pag.11""Fiestas Honor S. Casiano, las Galletas 2015",192.6
Recogida y acogida de animales.,311,22704,2015-08-31,B76640523,FENIX CONTROL DE AVES S.L.,3Trimestre Control y Dispersio n Palomas en Municipio Arona.,2889
Repar. conserv. y man. elementos de transporte,132,21400,2015-08-31,B38233912,SERVICIOS E LEON S.L.,"Enganche Remolque Frreelaner K it el?ctrico- Land Rover 2744- CSJ, Policia local",289.97
Repar. conserv. y man. elementos de transporte,132,21400,2015-08-31,B38342424,NEUMATICOS ATLANTICO S.L.,"Montaje 2 Neumaticos en cada V ehiculo Peugeot, 0545CZD Y Toy ota Hilux 3109 BZH",217.53
Repar. mant. y conserv. elementos de transporte,920,21400,2015-08-31,B38342424,NEUMATICOS ATLANTICO S.L.,"Montaje 2 Neumaticos en cada V ehiculo Peugeot, 0545CZD Y Toy ota Hilux 3109 BZH",217.53
Servicio de Atención Telefónica,925,22720,2015-08-31,B62916077,KONECTA BTO S.L.,"Servicio Agosto 2015, Atención  Telefonica 010 y Apoyo 092 d  e la Policia, Expte 1/09-casv",40198.39
Servicio de mantenimiento de vías y edificios,320,22713,2015-08-31,B38621850,FERRETERIA HERMALAY S.L.,"Membrana Inv 75 GP, Incidencia  de Fontaneria en Guarderia B  uzada",63.32
Servicio de Mantenimiento Eléctrico de Edificios,320,22716,2015-08-31,A28010478,IMESAPI S.A.,"Certificiacion Agosto 2015 , M antenimiento Inst.Elec.,",118309.11
Servicio de Mantenimiento Eléctrico de Edificios,342,22716,2015-08-31,A28010478,IMESAPI S.A.,"Certificiacion Agosto 2015 , M antenimiento Inst.Elec.,",118309.11
Servicio de Mantenimiento Eléctrico de Edificios,920,22716,2015-08-31,A28010478,IMESAPI S.A.,"Certificiacion Agosto 2015 , M antenimiento Inst.Elec.,",118309.11
Servicio Mantenimiento Alumbrado Público,165,22712,2015-08-31,A28010478,IMESAPI S.A.,"Certificiacion Agosto 2015 , M antenimiento Inst.Elec.,",118309.11
Servicio Mantenimiento Jardines Municipales,171,22741,2015-08-31,U76535509,UTE ZONAS VERDES ARONA,"Servicio Agosto, Gestion Zonas  Verdes",365567.84
Servicio Recogida de Papel Cartón,1621,22710,2015-08-31,U38732830,UTE CLUSA-MCCSA,"Servicio Agosto, Recogida Pape l Carton",22693.13
Vestuario,130,22104,2015-08-31,B38722922,UNIFORMES DEL ATLANTICO S.L.,"2 Pantalones Grises, Uniforme,  D.Rafael Martin Martin- Polic ia local",40.42
Arrendamientos de Material de Transporte,132,20400,2015-09-01,A91001438,ALPHABET ESPAÑA FLEET MANAGEMENT S.A.U.,"Alquiler y Renting Septiembre  2015, Vehiculos Policia Local   Expte 3/09-CSPSU",11492.78
Asistencia Médico-Farmacéutica,221,16008,2015-09-01,A50004209,"DKV SEGUROS Y REASEGUROS, S.A.E,","Seguro de Salud ""DKV Mundisalu d Elección"", póliza 037/00/041 /01952.  Emisión correspondien te al periodo : 09/2015",16901.25
"Desinfectantes, raticidas",311,22115,2015-09-01,B38589842,MAXIMO PESTANO SANIDAD AMBIENTAL S.L.,Servicio Septiembre Desratizac i?n y Desinsectaci?n,3852
